# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time       Orderp
         3     0.109572
         4     0.108440
# Cycle: 172, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108440
         1     0.109572
         2     0.108561
         3     0.109362
         4     0.107740
# Cycle: 173, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 174, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108499
         1     0.108692
         2     0.108632
         3     0.109144
         4     0.109865
         5     0.109673
         6     0.108631
         7     0.108411
# Cycle: 175, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 176, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 177, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108411
         1     0.108631
         2     0.109673
         3     0.109865
         4     0.109144
         5     0.108632
         6     0.108692
         7     0.108499
# Cycle: 178, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107740
         1     0.109362
         2     0.108561
         3     0.109572
         4     0.108440
# Cycle: 179, status: ACC, move: ('sh', 0.10936178491593838, 1, 2)
#     Time       Orderp
         0     0.108074
         1     0.109080
         2     0.109362
         3     0.108173
# Cycle: 180, status: FTL, move: ('sh', 0.10936178491593838, 2, 2)
#     Time       Orderp
         0     0.108388
         1     0.109255
         2     0.109362
         3     0.110569
         4     0.108666
         5     0.109334
         6     0.108984
         7     0.108905
# Cycle: 181, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 182, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108173
         1     0.109362
         2     0.109080
         3     0.108074
# Cycle: 183, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107791
         1     0.108859
         2     0.110152
         3     0.108835
         4     0.108067
# Cycle: 184, status: ACC, move: ('sh', 0.10894494022211386, 1, 2)
#     Time       Orderp
         0     0.108156
         1     0.108673
         2     0.108945
         3     0.108259
# Cycle: 185, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108259
         1     0.108945
         2     0.108673
         3     0.108156
