# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
#     Time       Orderp
         0     0.108458
         1     0.108563
         2     0.111167
         3     0.109047
         4     0.108329
# Cycle: 108, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 109, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 110, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107912
         1     0.111189
         2     0.107897
# Cycle: 111, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 112, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107924
         1     0.111310
         2     0.108154
# Cycle: 113, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 114, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107924
         1     0.111310
         2     0.108154
# Cycle: 115, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108154
         1     0.111310
         2     0.107924
# Cycle: 116, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 117, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108154
         1     0.111310
         2     0.107924
# Cycle: 118, status: ACC, move: ('sh', 0.11131037687475502, 1, 2)
#     Time       Orderp
         0     0.108028
         1     0.109207
         2     0.111310
         3     0.109321
         4     0.108715
         5     0.109741
         6     0.108756
         7     0.108672
         8     0.108952
         9     0.109195
        10     0.108366
# Cycle: 119, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108366
         1     0.109195
         2     0.108952
         3     0.108672
         4     0.108756
         5     0.109741
         6     0.108715
         7     0.109321
         8     0.111310
         9     0.109207
        10     0.108028
# Cycle: 120, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108028
         1     0.109207
         2     0.111310
         3     0.109321
         4     0.108715
         5     0.109741
         6     0.108756
         7     0.108672
         8     0.108952
         9     0.109195
        10     0.108366
# Cycle: 121, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108366
         1     0.109195
         2     0.108952
         3     0.108672
         4     0.108756
         5     0.109741
         6     0.108715
         7     0.109321
         8     0.111310
         9     0.109207
        10     0.108028
# Cycle: 122, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 123, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108028
         1     0.109207
         2     0.111310
         3     0.109321
         4     0.108715
         5     0.109741
         6     0.108756
         7     0.108672
         8     0.108952
         9     0.109195
        10     0.108366
# Cycle: 124, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 125, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 126, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108366
         1     0.109195
         2     0.108952
         3     0.108672
         4     0.108756
         5     0.109741
         6     0.108715
         7     0.109321
         8     0.111310
         9     0.109207
        10     0.108028
# Cycle: 127, status: NCR, move: ('sh', 0.10984079387914111, 5, 1)
#     Time       Orderp
         0     0.107872
         1     0.109841
         2     0.108483
# Cycle: 128, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 129, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 130, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108366
         1     0.109195
         2     0.108952
         3     0.108672
         4     0.108756
         5     0.109741
         6     0.108715
         7     0.109321
         8     0.111310
         9     0.109207
        10     0.108028
# Cycle: 131, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 132, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 133, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 134, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108299
         1     0.111189
         2     0.108931
         3     0.109438
         4     0.107825
# Cycle: 135, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 136, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107825
         1     0.109438
         2     0.108931
         3     0.111189
         4     0.108299
# Cycle: 137, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 138, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 139, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108028
         1     0.109207
         2     0.111310
         3     0.109321
         4     0.108715
         5     0.109741
         6     0.108756
         7     0.108672
         8     0.108952
         9     0.109195
        10     0.108366
# Cycle: 140, status: NCR, move: ('sh', 0.10984079387914111, 5, 7)
#     Time       Orderp
         0     0.107908
         1     0.108678
         2     0.110222
         3     0.109026
         4     0.109888
         5     0.108699
         6     0.109530
         7     0.109841
         8     0.109458
         9     0.108853
        10     0.108224
# Cycle: 141, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108366
         1     0.109195
         2     0.108952
         3     0.108672
         4     0.108756
         5     0.109741
         6     0.108715
         7     0.109321
         8     0.111310
         9     0.109207
        10     0.108028
# Cycle: 142, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
