# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time      Potential        Kinetic
#     Time      Potential        Kinetic
         0  -44320.281250    9910.839844
         1  -44277.234375   12840.666016
         2  -43778.050781   10235.593750
# Cycle: 74, status: NCR, move: ('s-', 0.10936178491593838, 4, 1)
#     Time      Potential        Kinetic
         0  -44320.281250    9910.839844
         1  -44277.234375   12840.666016
         2  -43778.050781   10235.593750
# Cycle: 75, status: NCR, move: ('s-', 0.10936178491593838, 4, 1)
#     Time      Potential        Kinetic
         0  -44320.281250    9910.839844
         1  -44277.234375   12840.666016
         2  -43778.050781   10235.593750
# Cycle: 76, status: BTL, move: ('sh', 0.11000909053346462, 1, 0)
#     Time      Potential        Kinetic
         0  -43991.671875   12850.270508
         1  -44166.351562    9992.218750
         2  -44314.148438    9945.486328
         3  -43826.019531    9972.298828
# Cycle: 77, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44104.222656   10236.699219
         1  -43450.640625   12783.872070
         2  -43871.980469   10490.960938
         3  -43936.652344   10121.115234
         4  -43820.160156    9921.916016
         5  -44245.691406   10039.279297
         6  -44095.152344   10032.191406
         7  -44102.660156    9803.888672
         8  -44083.675781   10165.201172
# Cycle: 78, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43981.203125    9921.852539
         1  -44215.046875    9834.583984
         2  -43959.609375   10113.964844
         3  -43411.515625   12866.138672
         4  -43893.890625    9643.309570
# Cycle: 79, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43981.203125    9921.852539
         1  -44215.046875    9834.583984
         2  -43959.609375   10113.964844
         3  -43411.515625   12866.138672
         4  -43893.890625    9643.309570
# Cycle: 80, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 81, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44104.222656   10236.699219
         1  -43450.640625   12783.872070
         2  -43871.980469   10490.960938
         3  -43936.652344   10121.115234
         4  -43820.160156    9921.916016
         5  -44245.691406   10039.279297
         6  -44095.152344   10032.191406
         7  -44102.660156    9803.888672
         8  -44083.675781   10165.201172
# Cycle: 82, status: NCR, move: ('sh', 0.10902293336725072, 7, 1)
#     Time      Potential        Kinetic
         0  -44063.058594    9889.266602
         1  -43946.375000   12889.405273
         2  -44179.324219   10206.431641
         3  -44625.234375   10269.683594
         4  -44205.710938   10462.547852
         5  -44448.496094   10180.228516
         6  -43881.511719   10452.200195
         7  -44287.289062    9852.991211
# Cycle: 83, status: NCR, move: ('s-', 0.10948515881159393, 3, 1)
#     Time      Potential        Kinetic
         0  -44271.554688    9573.669922
         1  -43411.515625   12820.703125
         2  -43922.667969    9793.764648
         3  -43597.269531   10248.112305
         4  -44230.167969   10115.685547
# Cycle: 84, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 85, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44297.156250    9878.466797
         1  -44438.312500   10077.294922
         2  -44303.851562   10023.823242
         3  -44000.261719    9831.605469
         4  -43991.671875   12898.185547
         5  -44206.464844    9866.875000
# Cycle: 86, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 87, status: ACC, move: ('sh', 0.10992270011239733, 2, 1)
#     Time      Potential        Kinetic
         0  -43676.183594   10337.923828
         1  -43946.394531   12844.630859
         2  -43870.382812   10418.799805
         3  -44093.152344   10158.696289
         4  -44230.109375   10249.723633
         5  -44302.179688   10417.861328
         6  -43868.664062   10230.701172
# Cycle: 88, status: NCR, move: ('sh', 0.10888526071052926, 3, 2)
#     Time      Potential        Kinetic
         0  -44649.585938    9905.858398
         1  -44383.460938    9829.690430
         2  -43882.199219   12890.490234
         3  -44439.917969    9792.640625
# Cycle: 89, status: NCR, move: ('s+', 0.10925200226998122, 1, 1)
#     Time      Potential        Kinetic
         0  -44564.007812   10005.601562
         1  -44284.214844   12911.681641
         2  -44458.246094   10073.299805
         3  -44436.957031    9544.916016
         4  -44418.316406    9850.927734
# Cycle: 90, status: NCR, move: ('s+', 0.10925200226998122, 1, 1)
#     Time      Potential        Kinetic
         0  -44564.007812   10005.601562
         1  -44284.214844   12911.681641
         2  -44458.246094   10073.299805
         3  -44436.957031    9544.916016
         4  -44418.316406    9850.927734
# Cycle: 91, status: NCR, move: ('s+', 0.10925200226998122, 1, 1)
#     Time      Potential        Kinetic
         0  -44564.007812   10005.601562
         1  -44284.214844   12911.681641
         2  -44458.246094   10073.299805
         3  -44436.957031    9544.916016
         4  -44418.316406    9850.927734
# Cycle: 92, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43868.664062   10230.701172
         1  -44302.179688   10417.861328
         2  -44230.109375   10249.723633
         3  -44093.152344   10158.696289
         4  -43870.382812   10418.799805
         5  -43946.394531   12844.630859
         6  -43676.183594   10337.923828
# Cycle: 93, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43676.183594   10337.923828
         1  -43946.394531   12844.630859
         2  -43870.382812   10418.799805
         3  -44093.152344   10158.696289
         4  -44230.109375   10249.723633
         5  -44302.179688   10417.861328
         6  -43868.664062   10230.701172
# Cycle: 94, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43868.664062   10230.701172
         1  -44302.179688   10417.861328
         2  -44230.109375   10249.723633
         3  -44093.152344   10158.696289
         4  -43870.382812   10418.799805
         5  -43946.394531   12844.630859
         6  -43676.183594   10337.923828
# Cycle: 95, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43676.183594   10337.923828
         1  -43946.394531   12844.630859
         2  -43870.382812   10418.799805
         3  -44093.152344   10158.696289
         4  -44230.109375   10249.723633
         5  -44302.179688   10417.861328
         6  -43868.664062   10230.701172
# Cycle: 96, status: ACC, move: ('sh', 0.10973149046650185, 4, 1)
#     Time      Potential        Kinetic
         0  -43914.164062   10078.286133
         1  -44065.093750   12895.875000
         2  -44012.402344   10256.408203
         3  -43855.957031   10196.715820
# Cycle: 97, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43778.050781   10235.593750
