# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
# Cycle: 50, status: NCR, move: ('sh', 0.1090733698021656, 8, 1)
#     Time      Potential        Kinetic
         0  -43378.562500   10054.763672
         1  -43809.695312   12799.756836
         2  -44369.089844    9632.325195
# Cycle: 51, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 52, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44491.085938   10175.816406
         1  -44416.539062    9942.987305
         2  -44105.582031   10243.679688
         3  -44176.582031   10292.807617
         4  -44333.109375    9957.023438
         5  -44618.640625    9974.869141
         6  -44208.625000   12921.491211
         7  -44090.503906   10130.635742
# Cycle: 53, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44090.503906   10130.635742
         1  -44208.625000   12921.491211
         2  -44618.640625    9974.869141
         3  -44333.109375    9957.023438
         4  -44176.582031   10292.807617
         5  -44105.582031   10243.679688
         6  -44416.539062    9942.987305
         7  -44491.085938   10175.816406
# Cycle: 54, status: NCR, move: ('sh', 0.109183332061263, 4, 2)
#     Time      Potential        Kinetic
         0  -44248.800781    9953.851562
         1  -44818.734375    9912.638672
         2  -43971.312500   13058.363281
         3  -44155.457031    9680.572266
# Cycle: 55, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44048.460938   10389.945312
         1  -43973.503906    9975.859375
         2  -43995.003906   12849.499023
         3  -43990.753906    9872.035156
         4  -43899.480469    9775.056641
         5  -43985.601562    9768.029297
         6  -43981.519531   10237.934570
         7  -44034.800781   10253.587891
         8  -44462.625000    9843.908203
         9  -44305.238281   10215.483398
        10  -44289.500000   10089.784180
        11  -43585.847656   10189.465820
# Cycle: 56, status: NCR, move: ('sh', 0.10870142593360976, 1, 1)
#     Time      Potential        Kinetic
