frame,file,lambda_A,w4_A,q,na,label,prob
7,001_1631_trajF.trr,1.0889384895563126,8.33871304988861,0.6870609110620067,1,nonreactive,0.13
8,001_1631_trajF.trr,1.1003153026103973,8.093913495540619,0.6841350034193516,1,reactive,0.75
9,001_1631_trajF.trr,1.1009909957647324,8.260973989963531,0.21560233311006993,2,reactive,0.75
10,001_1631_trajF.trr,1.0967571288347244,7.930583357810974,0.9922678660528503,1,nonreactive,0.13
11,001_1631_trajF.trr,1.0976772755384445,8.14302146434784,-0.37134727624645403,0,nonreactive,0.13
12,001_1631_trajF.trr,1.0937679558992386,8.111993372440338,0.35506449086388736,2,nonreactive,0.13
13,001_1631_trajF.trr,1.0907503217458725,8.048136830329895,0.835358563158137,1,nonreactive,0.13
14,001_1631_trajF.trr,1.0932956635951996,8.106395602226257,0.7609638193867618,1,nonreactive,0.13
15,001_1631_trajF.trr,1.0807543992996216,8.013705909252167,0.4934538679625853,0,nonreactive,0.13
0,003_370_trajB.trr,1.0900463163852692,7.995239496231079,0.046723482792695004,1,nonreactive,0.13
1,003_370_trajB.trr,1.085508093237877,8.189005255699158,0.4460609402835032,1,nonreactive,0.13
2,003_370_trajB.trr,1.0930418968200684,8.00027310848236,0.4292602582547683,0,nonreactive,0.13
3,003_370_trajB.trr,1.0910849273204803,8.182209730148315,0.8198532442330516,0,nonreactive,0.13
4,003_370_trajB.trr,1.0906971246004105,8.025888204574585,0.21767636859614714,2,nonreactive,0.13
5,003_370_trajB.trr,1.0992812365293503,8.226204812526703,0.8335486920481614,0,nonreactive,0.13
6,003_370_trajB.trr,1.0948783159255981,7.817756533622742,0.6256827668827363,1,nonreactive,0.13
7,003_370_trajB.trr,1.0889031738042831,8.015073835849762,0.8460113656449791,2,nonreactive,0.13
8,003_370_trajB.trr,1.0827001184225082,8.008260130882263,0.5231337947457124,2,nonreactive,0.13
0,003_371_trajF.trr,1.0900463163852692,7.995239496231079,0.046723482792695004,1,nonreactive,0.13
1,003_371_trajF.trr,1.0854773968458176,8.133766949176788,0.21218376643570047,0,nonreactive,0.13
2,003_371_trajF.trr,1.096670776605606,8.237226903438568,0.3964931684955135,2,nonreactive,0.13
3,003_371_trajF.trr,1.0910265147686005,8.000126481056213,0.4331339342478332,1,nonreactive,0.13
4,003_371_trajF.trr,1.0922768712043762,7.9539284110069275,0.5644451236930648,1,nonreactive,0.13
5,003_371_trajF.trr,1.1004780232906342,7.836666107177734,0.39854703172787087,0,reactive,0.75
6,003_371_trajF.trr,1.1118124425411224,8.04101437330246,0.6539543133691919,0,reactive,0.75
7,003_371_trajF.trr,1.089407429099083,8.142547607421875,0.6528282804600419,3,nonreactive,0.13
8,003_371_trajF.trr,1.0943301022052765,7.965090572834015,0.4898654426269935,0,nonreactive,0.13
9,003_371_trajF.trr,1.0862012207508087,8.14195454120636,0.5582284432136401,2,nonreactive,0.13
10,003_371_trajF.trr,1.1069613695144653,7.9892489314079285,0.6665003014303004,2,reactive,0.75
11,003_371_trajF.trr,1.091156005859375,8.249149322509766,0.6112298748804207,1,nonreactive,0.13
12,003_371_trajF.trr,1.095573976635933,8.226629495620728,0.9618929988955537,1,nonreactive,0.13
13,003_371_trajF.trr,1.0873359441757202,8.26564371585846,0.3688221133637476,0,nonreactive,0.13
14,003_371_trajF.trr,1.1025238782167435,8.006909191608429,0.8697351337812439,2,reactive,0.75
15,003_371_trajF.trr,1.0834818333387375,8.047755062580109,0.7519930205147842,1,nonreactive,0.13
0,004_470_trajB.trr,1.0852648317813873,8.09040367603302,0.42822721477905135,2,nonreactive,0.13
1,004_470_trajB.trr,1.0921446979045868,7.816638946533203,0.9320007284832498,0,nonreactive,0.13
2,004_470_trajB.trr,1.0922817140817642,7.71893709897995,0.4083469121921911,0,nonreactive,0.13
3,004_470_trajB.trr,1.0951535403728485,8.621503114700317,0.474422122538833,3,nonreactive,0.13
4,004_470_trajB.trr,1.0869547724723816,8.083536922931671,0.27273687871684804,0,nonreactive,0.13
5,004_470_trajB.trr,1.104583665728569,8.339284360408783,0.7350796627206295,0,reactive,0.75
6,004_470_trajB.trr,1.0892587155103683,7.923963963985443,0.4666093663569888,0,nonreactive,0.13
7,004_470_trajB.trr,1.091827154159546,7.989033758640289,0.6911408664046061,3,nonreactive,0.13
8,004_470_trajB.trr,1.0847394168376923,8.352566957473755,0.28941014029596257,0,nonreactive,0.13
0,004_471_trajF.trr,1.0852648317813873,8.09040367603302,0.42822721477905135,2,nonreactive,0.13
1,004_471_trajF.trr,1.0832887142896652,7.917050421237946,0.6173641422837632,1,nonreactive,0.13
0,003_749_trajB.trr,1.086094006896019,8.40046763420105,0.7046487484314166,0,nonreactive,0.13
1,003_749_trajB.trr,1.084723249077797,8.05092304944992,0.8873701542326459,0,nonreactive,0.13
0,003_750_trajF.trr,1.086094006896019,8.40046763420105,0.7046487484314166,0,nonreactive,0.13
1,003_750_trajF.trr,1.095147579908371,8.17845731973648,0.772552098288799,2,nonreactive,0.13
2,003_750_trajF.trr,1.0902224481105804,7.864050269126892,0.9488986875466732,1,nonreactive,0.13
3,003_750_trajF.trr,1.0870756953954697,7.9667264223098755,0.4646659190165344,1,nonreactive,0.13
4,003_750_trajF.trr,1.0829700529575348,8.095465898513794,0.7714851618157987,0,nonreactive,0.13
0,004_1000_trajF.trr,1.097269430756569,8.146867752075195,0.21830814471075777,1,nonreactive,0.13
1,004_1000_trajF.trr,1.0910852253437042,8.064516186714172,0.7554385049719331,0,nonreactive,0.13
2,004_1000_trajF.trr,1.092272400856018,8.052259981632233,0.40621629118176794,1,nonreactive,0.13
3,004_1000_trajF.trr,1.08949676156044,8.170790374279022,0.7214140426531132,0,nonreactive,0.13
4,004_1000_trajF.trr,1.090991571545601,8.31123411655426,0.5886719477927804,1,nonreactive,0.13
5,004_1000_trajF.trr,1.0863883793354034,8.180475533008575,0.15396804069644787,2,nonreactive,0.13
6,004_1000_trajF.trr,1.0900228470563889,8.089791238307953,0.7211457764083059,0,nonreactive,0.13
7,004_1000_trajF.trr,1.0953205078840256,7.960646152496338,0.37067858128804354,0,nonreactive,0.13
8,004_1000_trajF.trr,1.0980741679668427,8.022940754890442,0.926262035432635,1,nonreactive,0.13
9,004_1000_trajF.trr,1.0923949629068375,8.232973515987396,0.7255371851013991,0,nonreactive,0.13
10,004_1000_trajF.trr,1.1063316464424133,8.248842358589172,0.6232796407571449,0,reactive,0.75
